Nazwa produktu	białka	tłuszcze	węglowodany
Siemie lniane	18	42	29
Skórka cytrynowa	1.6	0.2	25
Skrobia kukurydziana	0.2	0	88.5
Skrobia ziemniaczana	0.6	0.1	83.9
Śledź solony	19.8	15.4	0
Śledź w oleju	16.4	26.5	0
Śliwka	0.6	0.2	11.7
Śliwki suszone	3.5	1.2	68.9
Słodki ziemniak (batat)	1.6	0.1	20
Śmietana. 12% tłuszczu	2.7	12	3.9
Śmietana. 18% tłuszczu	2.5	18	3.6
Śmietanka kremowa 30%	2.2	30	3.1
Soczewica czerwona suche nasiona	25.4	3	57.5
Soja suche nasiona	34.3	19.6	32.7
Sok ananasowy	0.3	0.1	11.4
Sok brzoskwiniowo pomarańczowy	0.7	0.1	7.4
Sok buraczany	0.8	0.2	7.6
Sok cytrynowy	0.4	0.3	6.4
Sok egzotyczny	0.8	0.3	12.7
Sok grejpfrutowy	0.5	0.1	9.2
Sok jabłkowy	0.1	0.1	10
Sok marchwiowo brzoskwiniowy	0.5	0.1	11.3
Sok marchwiowo jabłkowo bananowy	0.3	0.1	10.2
Sok marchwiowo jabłkowo śliwkowy	0.4	0.2	10.2
Sok marchwiowo jabłkowy	0.5	0.2	12.1
Sok marchwiowo pomarańczowy	0.6	0.1	10.8
Sok marchwiowy	0.4	0.1	11.3
Sok pomarańczowo grejpfrutowy	0.6	0.1	9.8
Sok pomarańczowy	0.6	0.1	9.9
Sok pomidorowy	0.8	0.2	3.3
Sok wieloowocowy	0.2	0.1	10.9
Sok wielowarzywny	1	0.3	5.7
Sól	0	0	0
Sola świeża	17.5	1.4	0
Sól czosnkowa	4.3	1.2	1.9
Sos sojowy	0.6	0	0.3
Starta skórka z pomarańczy	1.6	0.2	25
Suszone pomidory	5	14	23
Syrop klonowy	0.1	0.1	63
Szafran	11	5.9	65
Szałwia	11	13	61
Szczaw	1.1	0.8	4.9
Szczupak świeży	18.4	0.8	0
Szczypiorek	4.1	0.8	3.9
Szparagi	1.9	0.2	3.7
Szpinak	2.6	0.4	3
Szpinak. mrożonka	2.3	0.4	2.7
Szponder wołowy	19.3	15.7	0
Szprotka wędzona	19.3	18.3	0
Szynka delikatesowa z kurczaka	18.2	5.6	0
Szynka kanapkowa	14.2	4.4	1.4
Szynka parmeńska	26	3	1
Szynka wiejska	17.1	20.3	0.9
Szynka wieprzowa gotowana	16.4	18.3	1
Szynka wołowa gotowana	20.9	2	1.1
Szynka z indyka	17.1	1.6	0.1
Szynka z piersi kurczaka	21.2	1.2	0.2
Szynka z udźca kurczaka	17.2	5.3	0
Szynkówka wieprzowa	13.6	14.7	1.4
Szynkówka wołowa	16.2	1.5	1.4
Tofu	12	6	3
Truskawki	0.7	0.4	7.2
Tuńczyk w oleju	27.1	9	0
Tuńczyk w sosie własnym	21	1.2	0
Tymianek	9.1	7.4	64
Udko kurczaka bez skóry	17.8	6	0
Udko kurczaka ze skórą	16.8	10.2	0
Udziec indyka bez skóry	19.4	2.8	0
Udziec indyka ze skórą	18.4	6.4	0
Wafle ryżowe	8	3	81
Wątróbka kurczaka	19.1	6.3	0.6
Wędzona pierś z kurczaka	23	0.5	0
Wędzonka wołowa gotowana	17.8	3.1	0.5
Wieprzowina karkówka	16.1	22.8	0
Wieprzowina łopatka	16	21.7	0
Wieprzowina schab surowy	21	10	0
Wieprzowina żeberka	15.2	29.3	0
Wino białe półwytrawne	0	0	3.7
Wino białe słodkie	0.2	0	5.9
Wino białe wytrawne	0.1	0	0.6
Wino czerwone	0.1	0	0.2
Winogrona	0.5	0.2	17.6
Wiórki kokosowe	5.6	63.2	27
Wiśnie	0.9	0.4	10.9
Włoszczyzna krojona w paski	1.4	0.3	7.9
Woda	0	0	0
Zarodki pszenne	27.5	9.4	45.5
Żelatyna	84.2	0.1	0
Ziele angielskie	6.1	8.7	72
Ziemniaki	1.9	0.1	18.3
Ziemniaki młode	1.8	0.1	16.3
Zioła prowansalskie	0	0.1	0
Żółtko jajka kurzego	15.5	28.2	0.3
Żurawina niskosłodzona do mięs	0.2	0.7	38.8
Żurawina suszona	0.1	1.4	82.4
